ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9179;ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ;10.701;11.802;22.503
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9180;ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ;20.548;22.184;42.732
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9181;ΑΙΓΑΛΕΩ;28.617;31.200;59.817
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9182;ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ);24.798;26.554;51.352
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9183;ΠΕΡΙΣΤΕΡΙΟΥ;52.614;57.166;109.780
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9184;ΠΕΤΡΟΥΠΟΛΕΩΣ;17.849;19.402;37.251
0902;ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9185;ΧΑΙΔΑΡΙΟΥ;15.752;17.025;32.777
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9186;ΑΘΗΝΑΙΩΝ;216.409;260.896;477.305
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9187;ΒΥΡΩΝΟΣ;20.238;23.110;43.348
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9188;ΓΑΛΑΤΣΙΟΥ;17.281;19.120;36.401
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9189;ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ;14.144;16.109;30.253
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9190;ΖΩΓΡΑΦΟΥ;22.121;25.599;47.720
0903;ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9191;ΗΛΙΟΥΠΟΛΕΩΣ;27.706;30.517;58.223
